code_com;prix_m2
01180;6125.77777777778
01181;857
01183;2614.63157894737
01184;2519.25
01185;1741.07936507937
01187;2298.33333333333
01188;3425.25
01189;2998
01190;1381.5
01191;1262.5
01192;1912.8
01193;2344
01194;3153.33333333333
01195;2476.1875
01196;1866.28571428571
01197;2218.75
01199;1852.20833333333
01200;1424.5
01202;2444.56164383562
01203;2630.81818181818
01204;2250.83333333333
01206;1216.5
01207;2066.66666666667
01208;1762
01209;3686.66666666667
01210;2633.4347826087
01211;2112.64285714286
01212;1676.33333333333
01213;2667.5
01214;1075.5
01215;1865
01216;1956.88888888889
01219;1771.33333333333
01224;2821.2380952381
01225;4196.75
01227;2098.5
01228;2196.4
01229;3354.4
01230;1390.66666666667
01231;2094.18181818182
01232;1811.45833333333
01233;1533.66666666667
01234;2586.5
01235;2757.07142857143
01236;1800.1
01237;1963
01238;3118.76923076923
01239;2672.2
01240;1709.36363636364
01241;2004.81818181818
01242;895
01243;3765.3
01244;3002.32467532468
01245;1471.33333333333
01246;2143.47058823529
01247;2348.14285714286
01248;3998.30769230769
01249;3547.88793103448
01250;3257.16666666667
01252;3085.22222222222
01254;3100.875
01255;1593
01257;3469.66666666667
01258;2433.8
01259;2247
01260;3305.75
01261;2927
01262;2778.67142857143
01263;3070
01264;2535.44444444444
01265;1841.33333333333
01266;2191.72413793103
01267;2361.5
01268;2885.33333333333
01269;1475.89285714286
01272;2417.25
01273;1882.78947368421
01274;1489.14285714286
01275;4246.79166666667
01276;3778.21428571429
01277;1088
01279;1250
01280;1567.66666666667
01281;5236.03773584906
01282;1050.75
01283;1595.7
01284;2638
01285;3573.77777777778
01286;2962.6
01288;4475.17948717949
01289;2401.60869565217
01290;3244.44444444444
01291;2476.25
01294;2223.6
01295;3101.75
01296;1834
01297;2930.5
01298;2531.5
01299;2671.5
01301;2276.81395348837
01303;1930
01304;2244.55882352941
01305;1872.5
01306;1797.6
01307;1930.4
01308;3247.21428571429
01309;458
01310;633
01311;1479.5
01313;5657.49635036496
01314;2565.5
01317;1624.8
01318;2045.5
01319;2883
01320;2479.25925925926
01321;3367.85714285714
01322;3583.22222222222
01323;2046.83333333333
01325;3185.45454545455
01328;2931.83333333333
01329;2465.5
01332;2315
01333;3537.88
01334;1931.42857142857
01335;2578
01336;2292
01337;2103.1875
01338;1799.66666666667
01339;4565.36363636364
01342;3452
01343;2240.64285714286
01344;2376
01345;2374.70833333333
01346;1867.44444444444
01347;3772.52941176471
01348;2711.25925925926
01349;3185.14285714286
01350;2042.21428571429
01351;2947.41176470588
01352;2275.5
01353;3174.5625
01354;4674.44808743169
01355;2449.8
